====================================================================================================
WEEPING CAN ATTACK SIMULATOR - BIT-LEVEL ANALYSIS + REINFORCEMENT LEARNING
====================================================================================================
[MASTER] Connected to vcan0
[ATTACKER] Connected dedicated sniff socket to vcan0

====================================================================================================
[ATTACKER] PHASE 1: SNIFFING (Training) for 150 seconds...
====================================================================================================

[ATTACKER] Started vcan0 listener
[ECU_A] START slave_id=1 ID=0x100 period=5.00s
[ECU_B] START slave_id=2 ID=0x200 period=6.00s
[ECU_C] START slave_id=3 ID=0x300 period=9.00s
[ECU_D] START slave_id=4 ID=0x400 period=14.00s

=== Simulation running ===

[ECU_B] VUOLE TRASMETTERE (ID=0x200) TEC=0 REC=0 State=ERROR_ACTIVE
[ECU_A] VUOLE TRASMETTERE (ID=0x100) TEC=0 REC=0 State=ERROR_ACTIVE
[ECU_C] VUOLE TRASMETTERE (ID=0x300) TEC=0 REC=0 State=ERROR_ACTIVE
[ECU_D] VUOLE TRASMETTERE (ID=0x400) TEC=0 REC=0 State=ERROR_ACTIVE
  [ARB] SOF          | ECU_B=0 | ECU_A=0 | ECU_C=0 | ECU_D=0 -> BUS=0
  [ARB] ID           | ECU_B=0 | ECU_A=0 | ECU_C=0 | ECU_D=1 -> BUS=0
  [ARB] ECU_D perde arbitraggio
  [ARB] ID           | ECU_B=1 | ECU_A=0 | ECU_C=1 -> BUS=0
  [ARB] ECU_B perde arbitraggio
  [ARB] ECU_C perde arbitraggio
[MASTER] WINNER: ECU_A (ID=0x100) -> TRANSMIT
  [TX]  SOF          | ECU_A=0
  [TX]  ID           | ECU_A=0
  [TX]  ID           | ECU_A=0
  [TX]  ID           | ECU_A=1
  [TX]  ID           | ECU_A=0
  [TX]  ID           | ECU_A=0
  [TX]  ID           | ECU_A=0
  [TX]  ID           | ECU_A=0
  [TX]  ID           | ECU_A=0
  [TX]  STUFF        | ECU_A=1
  [TX]  ID           | ECU_A=0
  [TX]  ID           | ECU_A=0
  [TX]  ID           | ECU_A=0
  [TX]  RTR          | ECU_A=0
  [TX]  IDE          | ECU_A=0
  [TX]  STUFF        | ECU_A=1
  [TX]  R0           | ECU_A=1
  [TX]  DLC          | ECU_A=1
  [TX]  DLC          | ECU_A=0
  [TX]  DLC          | ECU_A=0
  [TX]  DLC          | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  STUFF        | ECU_A=1
  [TX]  DATA         | ECU_A=1
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  STUFF        | ECU_A=1
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  STUFF        | ECU_A=1
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  STUFF        | ECU_A=1
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  STUFF        | ECU_A=1
  [TX]  DATA         | ECU_A=1
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=1
  [TX]  DATA         | ECU_A=1
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=1
  [TX]  DATA         | ECU_A=1
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=1
  [TX]  DATA         | ECU_A=1
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=1
  [TX]  DATA         | ECU_A=1
  [TX]  DATA         | ECU_A=1
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=1
  [TX]  DATA         | ECU_A=1
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=1
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  STUFF        | ECU_A=1
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  STUFF        | ECU_A=1
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  DATA         | ECU_A=0
  [TX]  STUFF        | ECU_A=1
  [TX]  DATA         | ECU_A=0
  [TX]  CRC          | ECU_A=1
  [TX]  CRC          | ECU_A=1
  [TX]  CRC          | ECU_A=1
  [TX]  CRC          | ECU_A=0
  [TX]  CRC          | ECU_A=1
  [TX]  CRC          | ECU_A=1
  [TX]  CRC          | ECU_A=1
  [TX]  CRC          | ECU_A=0
  [TX]  CRC          | ECU_A=0
  [TX]  CRC          | ECU_A=1
  [TX]  CRC          | ECU_A=0
  [TX]  CRC          | ECU_A=0
  [TX]  CRC          | ECU_A=1
  [TX]  CRC          | ECU_A=0
  [TX]  CRC          | ECU_A=1
