[ECU_NORMAL] Avvio ECU (role=NORMAL, id=0x200)
[ECU_NORMAL] TX id=0x200 data=1162F7ED3F650653 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=D8FBAEDA79F81B6D (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=04FFB373F6808327 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=4D7C04438F4ADA47 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=6BEE5CF63AD2273A (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=CE50A3A4D495E61F (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=A7CC4C1697A6C945 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=F497FD68C7E0D991 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=2BB43F177F66F5D9 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=C1696A8ED93FD0AC (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=13089DB2213C5FCD (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=CF8853E6568B6813 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=D8B79AA4FC5C8A1F (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=661A2046CF5AC6B1 (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] Rilevato ERROR_FLAG ACTIVE da RX → REC=1, state=ERROR_ACTIVE
[ECU_NORMAL] TX id=0x200 data=2DD4089AD6C5BF3B (state=ERROR_ACTIVE, TEC=0)
[ECU_NORMAL] TX id=0x200 data=1E5A5FB429ECA360 (state=ERROR_ACTIVE, TEC=0)
